,Title,Year,Age Rating,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Directors,Genres,Country,Language,Runtime (min)
0,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100.0,1,0,0,0,Jay Karas,Comedy,United States,English,80.0
1,Jim Gaffigan: Obsessed,2014,16+,7.6,100.0,1,0,0,0,Jay Chapman,"Documentary,Comedy",United States,English,60.0
2,Melvin Goes to Dinner,2003,18+,6.8,100.0,1,0,0,0,Bob Odenkirk,"Comedy,Drama,Romance",United States,English,83.0
3,Hannibal Buress: Comedy Camisado,2016,18+,6.6,100.0,1,0,0,0,Lance Bangs,Comedy,United States,English,83.0
4,Aśoka,2001,18+,6.5,100.0,1,0,0,0,,Comedy,United States,English,30.0
5,Sour Grapes,2016,16+,7.3,96.0,1,0,0,0,Larry David,Comedy,United States,English,91.0
6,The Edge of Seventeen,2016,18+,7.3,94.0,1,0,0,0,Kelly Fremon Craig,"Comedy,Drama","United States,China",English,104.0
7,The Death of Mr. Lazarescu,2005,18+,7.9,93.0,1,0,0,0,Cristi Puiu,"Comedy,Drama",Romania,Romanian,153.0
8,Silver Linings Playbook,2012,18+,7.7,92.0,1,0,0,0,David O. Russell,"Comedy,Drama,Romance",United States,English,122.0
9,Frances Ha,2013,18+,7.5,92.0,1,0,0,0,Noah Baumbach,"Comedy,Drama,Romance",United States,"French,English",86.0
10,The Squid and the Whale,2005,18+,7.3,92.0,1,0,1,0,Noah Baumbach,"Comedy,Drama",United States,English,81.0
11,The Spectacular Now,2013,18+,7.1,91.0,1,0,0,0,James Ponsoldt,"Comedy,Drama,Romance",United States,English,95.0
12,Mississippi Grind,2015,18+,6.4,91.0,1,0,0,0,"Anna Boden,Ryan Fleck","Comedy,Drama",United States,English,108.0
13,Mindhorn,2016,18+,6.3,91.0,1,0,0,0,Sean Foley,Comedy,United Kingdom,English,89.0
14,Kung Fu Hustle,2004,18+,7.7,90.0,1,0,0,0,Stephen Chow,"Action,Comedy,Fantasy","Hong Kong,China,United States","Cantonese,Mandarin",99.0
15,A Serious Man,2009,18+,7.0,90.0,1,0,0,0,"Ethan Coen,Joel Coen","Comedy,Drama","United States,United Kingdom,France","English,Yiddish,Hebrew",106.0
16,Obvious Child,2014,18+,6.8,90.0,1,0,0,0,Gillian Robespierre,"Comedy,Drama,Romance",United States,English,84.0
17,20th Century Women,2016,18+,7.3,88.0,1,0,0,0,Mike Mills,"Comedy,Drama",United States,English,119.0
18,Morris from America,2016,18+,6.2,88.0,1,0,0,0,Chad Hartigan,"Comedy,Drama,Romance","Germany,United States","German,English",91.0
